PC1,PC2
0.812809,-0.873993
1.01265,-0.870476
1.09767,-0.851795
1.30657,-0.900633
1.40222,-0.393964
2.0788,1.50371
1.27602,-0.913572
1.47624,-0.339075
1.75037,0.0568845
1.61218,0.113352
2.15809,1.98304
2.2458,2.13748
1.7708,0.484383
1.84266,1.43381
2.26735,2.38044
1.74418,0.196912
2.36437,2.50812
1.92155,1.00488
1.07492,-0.421904
0.719016,-0.642918
1.0573,-0.205255
0.757574,0.310021
1.15672,1.76447
1.46878,2.82293
0.706842,0.256206
0.409153,-0.613529
0.654537,-0.69899
0.701888,-0.699127
0.372918,-0.600391
0.132777,-0.531754
0.415042,0.78643
0.100046,-0.262397
-0.0486409,-0.491651
-0.0486409,-0.491651
-0.146222,-0.457148
-0.39836,-0.375603
-0.519305,-0.348867
-0.75126,-0.275517
-0.625072,-0.319076
-0.584467,-0.34104
-0.899382,-0.238928
-1.12141,-0.17686
-1.06468,-0.197074
-1.01239,-0.215154
-0.933555,-0.258576
-0.841536,-0.290623
-1.06586,-0.221355
-0.885323,-0.284621
-0.905745,-0.270853
-0.628496,-0.360625
-0.438896,-0.427175
-0.43071,-0.422463
-0.453198,-0.407068
-0.264471,-0.465621
-0.106417,-0.513492
0.0893028,-0.573704
0.208498,-0.615605
0.345811,-0.664075
0.185137,-0.592213
0.486058,-0.673098
0.421781,-0.660021
1.27084,-0.921216
1.56352,-1.03142
1.77068,-1.08217
2.0403,-1.16786
2.13494,-1.19274
2.09346,-1.16278
2.13288,-1.15996
2.25001,-1.20023
2.21291,-0.615928
2.21672,-1.16556
2.90772,-1.22582
2.64033,-1.25801
2.69444,-0.979276
3.133,0.324943
2.66533,-0.0493009
2.31673,-0.820773
3.00457,1.83742
3.04748,1.5333
3.03437,2.1097
2.16273,-0.917996
2.17412,0.607964
2.12827,1.19667
1.39133,-0.895475
1.33173,-0.890104
0.916671,-0.736053
0.762053,-0.713615
0.573326,-0.655061
0.663595,-0.702274
0.756488,-0.742319
0.10242,-0.537864
0.0390081,-0.514872
0.0118318,-0.505019
0.113783,-0.548348
0.196743,-0.577111
-0.109114,-0.478283
0.0351925,-0.528411
-0.203383,-0.39652
-0.104744,-0.487109
-0.419659,-0.384996
-0.275353,-0.435124
-0.498249,-0.365059
-0.353943,-0.415187
-0.405357,-0.405104
-0.313338,-0.437151
-0.711213,-0.306276
-0.646371,-0.32847
-0.860208,-0.261689
-0.605766,-0.350434
-0.490067,-0.391506
-0.607197,-0.351231
-0.613317,-0.35757
-0.432776,-0.420836
-0.372303,-0.434204
-0.191762,-0.49747
-0.361179,-0.439115
-0.227363,-0.486756
-0.130655,-0.513262
0.0580719,-0.571816
0.216126,-0.619687
0.409222,-0.687066
0.367186,-0.6659
0.69116,-0.771297
0.819414,-0.816482
0.832288,-0.806228
0.973409,-0.823248
1.49112,-1.01636
1.80854,-1.03861
2.00851,-1.17477
2.20193,-1.22778
2.59106,-1.341
2.73886,-1.39196
3.57009,2.23976
2.33798,-0.781065
2.29837,-0.99285
2.68127,0.104527
2.56688,-0.63695
2.66646,-0.526713
2.96715,0.664122
3.48499,1.9885
3.04692,0.105299
2.87123,-1.00032
3.01843,0.622742
2.35784,-1.18258
2.96159,1.24766
2.07628,-0.631356
1.65197,-0.989099
1.7393,-1.02669
1.75535,-1.03163
1.31862,-0.894785
1.45386,-0.941629
1.43575,-0.93506
1.02325,-0.798444
0.774051,-0.726523
1.01038,-0.808698
0.668284,-0.696732
0.479557,-0.638179
0.230674,-0.583049
0.424643,-0.658426
0.406526,-0.651857
0.199435,-0.56325
0.0238293,-0.517927
-0.0547609,-0.49799
-0.115234,-0.484622
0.0381313,-0.538034
0.0200138,-0.531465
-0.193824,-0.464685
-0.291405,-0.430182
-0.180395,-0.476795
-0.376115,-0.416584
-0.323828,-0.434664
-0.231809,-0.466712
-0.265105,-0.463197
-0.447078,-0.400729
-0.327882,-0.44263
-0.203125,-0.486986
-0.157831,-0.503409
0.0227101,-0.566675
0.0761895,-0.578385
0.216126,-0.619687
0.321892,-0.649477
0.528736,-0.7146
0.709278,-0.777866
0.85271,-0.819997
0.95935,-0.857784
1.0876,-0.90297
0.893634,-0.827593
1.07418,-0.890859
1.14283,-0.899514
1.30427,-0.893433
1.92888,1.31165
1.49925,-0.180212
1.52048,-0.501542
1.9966,0.998178
2.18145,0.901481
2.01602,0.637079
2.16577,0.810247
1.80061,0.108597
1.97784,0.151131
2.04825,0.279541
1.86795,-0.518805
2.18682,0.843125
2.33937,0.822314
1.98928,0.606519
1.98928,0.606519
1.77574,-0.0106493
1.88239,0.942751
1.62261,-0.543889
1.89208,1.38297
1.74652,1.40213
1.28808,-0.0146782
2.17871,2.58834
1.05219,-0.157135
1.00327,-0.067191
1.08088,0.831689
0.884714,0.828325
0.810247,0.86292
0.692471,-0.238628
1.45397,2.26452
0.607567,-0.58705
0.977431,1.82756
0.888209,0.949396
0.240427,-0.289193
0.654135,1.40988
1.02742,2.92976
0.733114,2.542
-0.018953,-0.0606058
-0.221243,-0.480417
-0.110233,-0.527031
1.22983,-0.964719
0.544748,1.51319
0.354644,1.3385
0.453541,1.51264
0.589355,1.60973
0.428165,0.57107
0.48913,0.082714
0.637189,0.143421
0.787252,0.605917
0.734596,0.873234
1.02615,0.916414
0.605643,-0.112859
0.677293,-0.516643
1.061,0.138025
1.4489,1.39512
1.36725,1.06936
1.13122,0.467583
1.52868,1.39947
1.2098,0.0375377
1.51242,0.479222
1.5812,0.519775
1.52598,1.11065
1.64537,1.32678
1.50305,0.805417
1.62462,1.06913
1.63748,0.791175
1.73894,1.22283
1.40573,1.53266
1.4392,0.764833
1.15533,1.32325
1.22911,1.52353
1.0725,1.70734
0.949786,0.470679
0.83997,0.951683
1.16709,2.34293
1.1872,2.32804
0.864772,1.2173
1.14434,2.24666
1.20426,2.80558
1.38486,2.76691
0.0112009,-0.471435
-0.195643,-0.406313
-0.274234,-0.386376
-0.233629,-0.40834
-0.38612,-0.362925
-0.30316,-0.391688
-0.651371,-0.286061
-0.693727,-0.279262
-0.711844,-0.272693
-0.711844,-0.272693
-0.729962,-0.266124
-0.686733,-0.28092
-0.493637,-0.348299
-0.790434,-0.252756
-0.823731,-0.249241
-0.661307,-0.305938
-0.769378,-0.268948
-0.55554,-0.335729
-0.59408,-0.315391
-0.271537,-0.421586
0.0661844,-0.524726
0.0109585,-0.497021
0.0664957,-0.492447
0.27184,-0.565059
0.523166,-0.614003
0.61862,-0.671484
1.29115,0.943264
1.34187,0.176862
