PC1,PC2
0.834197,-0.879149
1.0292,-0.874572
1.10918,-0.855672
1.31959,-0.904502
1.4068,-0.397544
2.08299,1.49816
1.28109,-0.916607
1.47857,-0.342406
1.75328,0.0536459
1.61146,0.1103
2.15667,1.97684
2.24336,2.13102
1.76908,0.480603
1.83943,1.42918
2.26584,2.37456
1.74503,0.19459
2.36372,2.50261
1.92141,1.00195
1.07252,-0.42249
0.717461,-0.642364
1.06005,-0.205084
0.755574,0.309616
1.15388,1.76195
1.46412,2.81913
0.702994,0.256889
0.403522,-0.611176
0.652644,-0.696366
0.700686,-0.696211
0.366813,-0.597544
0.126316,-0.528112
0.409808,0.788087
0.0950996,-0.258862
-0.0529992,-0.48722
-0.0529992,-0.48722
-0.151989,-0.45229
-0.406131,-0.369224
-0.525674,-0.341962
-0.759502,-0.268272
-0.631332,-0.311291
-0.588506,-0.333015
-0.906578,-0.230786
-1.12872,-0.168171
-1.06813,-0.188894
-1.01503,-0.206783
-0.9349,-0.249956
-0.841479,-0.281902
-1.06778,-0.213756
-0.884545,-0.277224
-0.907058,-0.264876
-0.627344,-0.355608
-0.434933,-0.422484
-0.428265,-0.418225
-0.452737,-0.403318
-0.262835,-0.462527
-0.104074,-0.511088
0.0930452,-0.571145
0.213998,-0.613316
0.353305,-0.662303
0.187017,-0.590742
0.49085,-0.671518
0.423905,-0.659749
1.28026,-0.925835
1.57586,-1.03588
1.78106,-1.08913
2.05324,-1.17432
2.14777,-1.19903
2.10243,-1.16963
2.13938,-1.16622
2.25837,-1.20583
2.21669,-0.622452
2.2197,-1.17218
2.91512,-1.23669
2.64167,-1.26531
2.69681,-0.987238
3.13425,0.315489
2.66364,-0.0563063
2.31521,-0.826337
3.00103,1.82852
3.04593,1.52547
3.03174,2.10134
2.16137,-0.921419
2.16949,0.602868
2.12219,1.19194
1.38747,-0.896144
1.33021,-0.89018
0.913609,-0.735252
0.756893,-0.712128
0.566991,-0.652919
0.661821,-0.699774
0.757751,-0.739387
0.0985448,-0.534932
0.0343043,-0.511075
0.0067727,-0.500851
0.11188,-0.543872
0.196123,-0.57241
-0.112771,-0.47359
0.0337534,-0.523425
-0.20859,-0.391344
-0.106654,-0.48168
-0.424725,-0.379452
-0.278201,-0.429287
-0.502851,-0.359005
-0.356327,-0.408841
-0.406922,-0.398618
-0.313501,-0.430564
-0.715816,-0.299798
-0.649927,-0.32152
-0.8654,-0.254646
-0.6071,-0.343243
-0.489757,-0.38499
-0.608749,-0.345379
-0.613458,-0.352197
-0.430225,-0.415665
-0.370453,-0.429296
-0.18722,-0.492764
-0.359316,-0.435264
-0.223617,-0.483826
-0.127137,-0.51109
0.0627648,-0.570299
0.221526,-0.61886
0.417545,-0.68616
0.37307,-0.666572
0.700319,-0.772208
0.830449,-0.817787
0.840177,-0.808846
0.980231,-0.825728
1.50361,-1.02312
1.82391,-1.04535
2.02382,-1.18328
2.21679,-1.2378
2.60687,-1.35239
2.757,-1.40265
3.57649,2.22593
2.34252,-0.788098
2.30325,-0.999813
2.68502,0.0954557
2.57064,-0.645545
2.66805,-0.535272
2.96921,0.653619
3.48684,1.97597
3.04944,0.0959526
2.87463,-1.0078
3.01687,0.613127
2.35976,-1.18907
2.96137,1.23844
2.0754,-0.636415
1.65165,-0.992421
1.74201,-1.02905
1.7584,-1.03331
1.31828,-0.89615
1.45563,-0.942577
1.43727,-0.935761
1.02021,-0.798602
0.770539,-0.725763
1.01048,-0.807544
0.664881,-0.695091
0.474979,-0.635882
0.228675,-0.580511
0.427202,-0.655478
0.408848,-0.648662
0.198591,-0.55991
0.0204185,-0.514485
-0.0577078,-0.494039
-0.11748,-0.480408
0.038222,-0.533651
0.0198676,-0.526835
-0.195606,-0.459961
-0.294595,-0.425031
-0.180311,-0.47146
-0.37743,-0.411402
-0.324327,-0.429292
-0.230906,-0.461238
-0.263146,-0.457832
-0.448028,-0.396499
-0.327076,-0.43867
-0.200554,-0.483824
-0.154668,-0.500865
0.0285648,-0.564333
0.0811193,-0.577115
0.221526,-0.61886
0.327184,-0.649531
0.53544,-0.715557
0.718673,-0.779025
0.862689,-0.821193
0.970856,-0.859531
1.10099,-0.90511
0.902457,-0.830143
1.08569,-0.893611
1.15213,-0.902983
1.31543,-0.898971
1.93754,1.30319
1.50853,-0.186235
1.52991,-0.507059
2.00445,0.990187
2.19224,0.893616
2.02568,0.629441
2.17672,0.802394
1.80809,0.101828
1.98598,0.144065
2.05526,0.272379
1.87441,-0.524758
2.19332,0.835349
2.34807,0.814785
1.99416,0.599443
1.99416,0.599443
1.78046,-0.0162558
1.88607,0.936305
1.62922,-0.547821
1.89566,1.37677
1.74812,1.39649
1.28969,-0.0173523
2.18121,2.58186
1.05435,-0.159057
1.00599,-0.0688399
1.08235,0.829011
0.885157,0.826269
0.811147,0.861352
0.696574,-0.238261
1.45763,2.26118
0.613591,-0.585955
0.978092,1.82529
0.893019,0.948622
0.241806,-0.287805
0.655378,1.40892
1.02873,2.92661
0.733706,2.53994
-0.0173017,-0.0583864
-0.218909,-0.477008
-0.104625,-0.523437
1.25217,-0.962873
0.547237,1.51277
0.355367,1.33881
0.454761,1.51204
0.588879,1.60868
0.429941,0.571283
0.49381,0.0833825
0.643574,0.143661
0.793642,0.605185
0.737489,0.871572
1.03283,0.914695
0.607845,-0.11382
0.680608,-0.517468
1.06361,0.136059
1.44983,1.39132
1.36845,1.06592
1.13028,0.465132
1.5276,1.39573
1.2087,0.0356236
1.51352,0.476583
1.58309,0.517236
1.52306,1.10743
1.6401,1.32356
1.49663,0.8035
1.61876,1.0671
1.63303,0.789753
1.73404,1.221
1.39501,1.53081
1.43232,0.764559
1.1438,1.32274
1.21782,1.52338
1.05834,1.70734
0.940878,0.472756
0.825951,0.953109
1.15309,2.34249
1.17203,2.32785
0.850038,1.21896
1.12898,2.24686
1.18735,2.80526
1.37214,2.76681
3.52948e-05,-0.465912
-0.208221,-0.399887
-0.286347,-0.37944
-0.243521,-0.401163
-0.396714,-0.355587
-0.31247,-0.384125
-0.662782,-0.27849
-0.704199,-0.271676
-0.722553,-0.26486
-0.722553,-0.26486
-0.740908,-0.258043
-0.696982,-0.272524
-0.500963,-0.339825
-0.80068,-0.244413
-0.83292,-0.241007
-0.668041,-0.297658
-0.777857,-0.261456
-0.562383,-0.32833
-0.60325,-0.309166
-0.27765,-0.416938
0.0618359,-0.5213
0.00426391,-0.493184
0.0589746,-0.488771
0.264215,-0.562189
0.517411,-0.612577
0.612877,-0.669959
1.28424,0.940566
1.3374,0.17517
1.82079,1.52365
1.95243,1.69347
1.64261,-0.22175
1.72556,0.381836
2.40437,2.65136
2.23779,1.57688
2.6743,2.74207
2.08826,0.638799
2.64359,2.46925
2.5865,2.02352
1.95818,0.258271
1.84781,0.282124
1.49992,-0.728739
2.25765,2.66398
2.13499,2.87694
1.09688,-0.480029
1.35428,0.0184678
1.29869,1.09006
1.68711,1.9364
1.67163,1.58929
0.665279,-0.165538
0.959743,0.953585
1.12069,0.987729
0.369081,-0.622255
0.0754818,-0.534934
0.00653271,-0.517896
-0.0532391,-0.504265
0.0518678,-0.547286
-0.163606,-0.480412
-0.285658,-0.445484
-0.457205,-0.393091
-0.576749,-0.36583
-0.622635,-0.348789
-0.775828,-0.303212
-0.60734,-0.360288
-0.830891,-0.282763
-0.911526,-0.25465
-0.952944,-0.247836
-0.89788,-0.268285
-0.733002,-0.324936
-0.771359,-0.313439
-0.57228,-0.376057
-0.37987,-0.442933
-0.2175,-0.491917
-0.237503,-0.487237
-0.113491,-0.524724
0.0764107,-0.583934
0.262704,-0.642719
0.527672,-0.727058
0.720082,-0.793934
0.30883,-0.642715
0.442019,-0.683611
0.775936,-0.784988
0.977524,-0.855273
1.1413,-0.90171
1.74882,-1.08573
1.90954,-1.13685
2.26323,-0.922232
2.40469,-0.954023
2.13073,-0.101723
1.78892,-0.864786
2.71058,2.26824
2.7102,1.8042
2.12956,-0.830886
2.86807,1.36221
2.31355,0.928579
2.34104,-1.25825
3.19765,1.82005
2.49,-1.27655
2.53142,-1.28337
2.55441,0.191484
2.26513,-0.667326
2.04331,2.38021
1.0576,0.186782
0.618689,-0.285308
-0.327216,0.786844
-1.14271,-0.26702
-1.31449,-0.231672
-1.27638,-0.260214
-1.41592,-0.228272
-1.47158,-0.200006
-1.50794,-0.211236
-1.62081,-0.179716
-1.46511,-0.232959
-1.59077,-0.197607
-1.69447,-0.169495
-1.71282,-0.162679
-1.76342,-0.152457
-1.80484,-0.145642
-1.78648,-0.152459
-1.81872,-0.149053
-1.84625,-0.138828
-1.84625,-0.138828
-1.86932,-0.13883
-1.87849,-0.135422
-1.89685,-0.128606
-1.90602,-0.125197
-1.91991,-0.128608
-1.78725,0.307053
-1.20249,2.95677
-1.74478,1.29071
-2.16327,-0.0266471
-2.16327,-0.0266471
-1.98479,0.329174
-1.74637,0.776795
-1.07191,3.67376
-1.82593,0.0875204
-1.83378,-0.120509
-1.06824,2.0473
-1.19781,1.36043
-1.05514,1.14279
-0.553929,2.96102
-0.485205,2.84126
-0.764772,2.73618
-1.1967,1.04627
-0.628961,3.38938
-0.863219,3.1894
-1.51214,0.304942
-1.49381,-0.19078
-1.3871,-0.211499
-1.27532,-0.250261
-1.1988,-0.293011
-1.4735,-0.200156
-1.24744,-0.285348
-1.22437,-0.285346
-1.18045,-0.299827
-1.48267,-0.196748
-1.35921,-0.246586
-1.26579,-0.278532
-1.52409,-0.189934
-1.61139,-0.166079
-1.72317,-0.127317
-1.57664,-0.177152
-1.65728,-0.149038
-1.70928,-0.123906
-1.72764,-0.11709
-1.78329,-0.0888238
-1.69493,-0.102726
-1.84969,-0.082162
-1.70317,-0.131997
-1.84112,0.0924625
-1.75882,-0.103731
-1.92782,-0.0617151
-1.94617,-0.0548987
-1.79965,-0.104734
-1.97841,-0.0514927
-1.97841,-0.0514927
-1.98759,-0.0480845
-1.99677,-0.0446763
-1.99677,-0.0446763
-1.99677,-0.0446763
-1.88246,0.3978
-1.28126,1.5029
-1.80803,-0.0719313
-1.98876,-0.0161302
-1.99347,-0.0229486
-1.79635,-0.0830062
-1.78497,-0.0719292
-1.62927,-0.125173
-1.74379,-0.0957885
-1.59892,-0.147759
-1.4229,-0.210379
-1.32642,-0.237642
-1.13848,-0.294292
-1.20884,-0.262344
-0.858214,-0.372673
-0.5763,-0.448919
-0.272072,-0.472729
-0.549457,-0.393099
-0.299784,-0.465939
0.0232636,-0.563334
0.301172,-0.611584
0.301172,-0.611584
-0.131294,-0.505559
0.321548,-0.0502248
0.0802858,-0.399808
0.258715,-0.598402
0.162545,-0.575835
0.587684,-0.723644
0.604078,-0.7279
0.414488,-0.673386
0.572149,-0.729189
0.709496,-0.775616
0.414488,-0.673386
0.253766,-0.622266
0.0566474,-0.562208
0.350007,-0.666574
0.299652,-0.639307
0.0766506,-0.566889
0.236821,-0.630359
0.258235,-0.632492
0.336361,-0.652939
-0.163846,-0.497457
-0.354847,-0.44549
-0.343161,-0.456565
-0.627584,-0.372653
-0.522477,-0.415673
-0.470473,-0.440805
-0.561205,-0.311095
-0.116569,1.63359
-0.515598,0.873776
-0.917,-0.327349
-1.47302,-0.166066
-1.69987,-0.110269
-1.63869,-0.138809
-1.84051,-0.0855702
-1.68481,-0.138814
-1.81965,-0.100053
-1.89582,-0.0821662
-1.9097,-0.0855764
-1.87048,-0.106876
-1.68111,0.310471
-2.01089,-0.0651316
-2.04313,-0.0617255
-1.88743,-0.114969
-1.73173,-0.168212
-1.72255,-0.17162
-1.99157,-0.039118
-1.85739,-0.13286
-2.08455,-0.0549112
-1.96109,-0.104748
-2.10761,-0.0549133
-2.04533,-0.0762106
-2.11232,-0.0617317
-2.08479,-0.0719562
-2.04557,-0.0932556
-1.9338,-0.132018
-1.75974,-0.192078
-1.88791,-0.149059
-1.73692,-0.209121
-1.70186,-0.224889
-1.66491,-0.221477
-1.47807,-0.285369
-1.59397,-0.175566
-1.25308,0.364284
-1.32476,-0.270857
-1.06288,-0.00199104
-0.425781,1.2303
-0.394842,0.170186
-0.0235189,0.513387
0.921892,2.88838
0.993484,1.85756
0.744762,1.57632
0.560517,0.0720253
1.22051,1.35007
1.08679,0.0941537
1.9286,2.86129
0.974887,-0.720023
2.00447,2.44216
1.60103,0.945069
0.92762,-0.0654379
1.4083,2.23402
0.572356,-0.456253
1.18118,1.73468
0.936518,1.23506
0.909213,1.90513
0.652366,0.421007
1.1603,2.05311
1.10647,3.18692
0.356907,-0.23933
0.40057,0.322756
0.386331,0.344208
0.819512,2.08128
0.419595,0.606646
0.543559,1.55239
0.413107,0.707819
1.09279,2.88186
0.987699,2.18009
0.321417,1.61501
0.167234,1.13885
-0.0714958,0.289981
0.326429,2.02307
0.122293,1.12321
0.264464,1.70081
0.565236,3.17046
-0.477321,-0.346503
0.0337544,1.5888
-0.264555,-0.442922
-0.429131,0.014974
-0.60569,-0.340696
-0.63793,-0.33729
-0.610398,-0.347515
-0.461914,-0.39991
-0.170028,0.664082
0.0876287,1.00941
0.398974,3.20553
0.495547,2.732
0.116601,2.28349
0.208099,2.57279
0.412575,2.63748
0.501416,2.57313
-0.022696,0.473425
0.190887,0.47191
0.6971,2.46247
0.444901,0.516427
0.567358,0.689651
0.482362,-0.445623
0.693854,0.578987
0.613635,-0.486669
1.08821,1.07609
1.64232,2.28208
0.813635,-0.0903501
0.794945,-0.228887
1.05331,0.725836
0.889614,0.107732
1.08624,0.842921
0.717428,-0.386473
0.891234,-0.614763
1.07026,1.29105
0.713391,-0.102585
1.24827,2.18623
1.11402,2.21717
0.21466,-0.456338
0.438895,0.56715
0.0609603,-0.425821
0.191966,-0.566878
0.0270869,-0.510227
-0.199524,-0.437385
-0.337422,-0.403307
-0.200074,-0.449734
-0.190897,-0.453143
-0.138894,-0.478274
-0.545678,-0.337282
-0.63769,-0.320245
-0.594863,-0.341969
-0.837869,-0.26487
-0.714407,-0.314707
-0.929881,-0.247833
-1.09696,-0.205667
-1.06331,-0.223983
-1.01021,-0.241872
-1.15202,-0.185218
-1.06778,-0.213756
-1.31078,-0.136657
-1.37056,-0.123027
-1.48233,-0.0842645
-1.50539,-0.0842665
-1.34773,-0.14007
-1.29267,-0.160519
-1.1845,-0.198857
-1.12944,-0.219306
-0.912006,-0.28874
-0.744068,-0.340709
-0.590875,-0.386285
-0.494394,-0.413548
-0.402975,-0.422768
-0.175772,-0.503427
0.019346,-0.540758
0.12912,-0.556794
0.563274,-0.324537
1.05069,-0.0702463
1.41308,0.765994
1.70583,1.49878
1.59513,0.498756
1.83487,0.246034
2.22899,1.38521
1.99274,0.463167
2.55845,2.10436
1.99867,0.11392
2.82387,2.46119
