PC1,PC2
0.829909,-0.87996
1.02334,-0.878146
1.1018,-0.866521
1.31211,-0.913943
1.40309,-0.417771
2.10427,1.46963
1.27069,-0.934163
1.47481,-0.365038
1.75502,0.0326182
1.61267,0.0852268
2.1823,1.93684
2.27067,2.08801
1.77482,0.450349
1.85719,1.39459
2.29674,2.33708
1.74796,0.175871
2.39664,2.4686
1.93469,0.980177
1.06613,-0.435853
0.708481,-0.647117
1.05841,-0.20502
0.759027,0.301797
1.17625,1.74399
1.49984,2.79324
0.705142,0.252228
0.393574,-0.61096
0.642924,-0.689925
0.691231,-0.687213
0.3569,-0.595109
0.117217,-0.520491
0.418538,0.789733
0.0901006,-0.24833
-0.0607902,-0.470815
-0.0607902,-0.470815
-0.159802,-0.435223
-0.413498,-0.345461
-0.532169,-0.312344
-0.765685,-0.238506
-0.637347,-0.275971
-0.594008,-0.292987
-0.911862,-0.193501
-1.13321,-0.126809
-1.07155,-0.144441
-1.01838,-0.160219
-0.93835,-0.200396
-0.844844,-0.230008
-1.07101,-0.170149
-0.887664,-0.231391
-0.910823,-0.230299
-0.631464,-0.32395
-0.438947,-0.389155
-0.43278,-0.389935
-0.457782,-0.380844
-0.268266,-0.442866
-0.109918,-0.495017
0.0869238,-0.553004
0.207936,-0.594504
0.347284,-0.64393
0.179932,-0.582231
0.483756,-0.659264
0.415952,-0.658866
1.27119,-0.945252
1.5664,-1.05134
1.77009,-1.12292
2.0421,-1.20259
2.13627,-1.22701
2.08993,-1.20681
2.12608,-1.20426
2.24525,-1.23776
2.20965,-0.66487
2.20508,-1.21834
2.90106,-1.3028
2.62523,-1.32011
2.6844,-1.04338
3.13869,0.251584
2.66219,-0.110399
2.30364,-0.873118
3.02388,1.76563
3.06552,1.47063
3.05856,2.04376
2.14869,-0.955533
2.17579,0.559127
2.13582,1.15012
1.37431,-0.915338
1.31797,-0.901962
0.902893,-0.742248
0.745762,-0.717915
0.556246,-0.655893
0.652093,-0.693888
0.7486,-0.726683
0.0902308,-0.527002
0.0260511,-0.499262
-0.00145452,-0.487374
0.104222,-0.524131
0.18856,-0.54978
-0.120126,-0.454256
0.0265491,-0.499647
-0.215385,-0.371118
-0.113461,-0.455421
-0.431315,-0.355935
-0.28464,-0.401325
-0.508988,-0.33145
-0.362313,-0.376841
-0.41248,-0.364245
-0.318974,-0.393857
-0.721165,-0.268721
-0.655165,-0.286445
-0.870344,-0.220533
-0.611826,-0.303461
-0.494477,-0.346979
-0.613647,-0.313477
-0.617971,-0.320695
-0.434622,-0.381937
-0.375286,-0.398495
-0.191937,-0.459737
-0.364276,-0.410456
-0.22859,-0.4619
-0.13258,-0.49431
0.0569359,-0.556332
0.215283,-0.608483
0.411464,-0.671669
0.366304,-0.664669
0.693327,-0.768119
0.823507,-0.813582
0.832178,-0.81716
0.971651,-0.835677
1.49425,-1.05085
1.8153,-1.06977
2.0133,-1.21912
2.20531,-1.28394
2.59418,-1.40675
2.74452,-1.45012
3.60793,2.15031
2.33354,-0.833242
2.29158,-1.04455
2.68741,0.0390228
2.56321,-0.701277
2.66133,-0.594397
2.97836,0.58701
3.51341,1.89983
3.05143,0.0343774
2.86236,-1.06042
3.02425,0.545268
2.34455,-1.23686
2.97754,1.17737
2.06658,-0.677609
1.63835,-1.02226
1.72935,-1.04908
1.74585,-1.049
1.30632,-0.913216
1.44383,-0.954644
1.42549,-0.946718
1.00863,-0.811639
0.759775,-0.733058
0.999956,-0.808061
0.654596,-0.696686
0.46508,-0.634664
0.220411,-0.572465
0.419594,-0.638834
0.401257,-0.630909
0.191046,-0.545269
0.012558,-0.502517
-0.0651148,-0.478033
-0.12445,-0.461475
0.0313931,-0.510828
0.0130561,-0.502902
-0.202123,-0.43699
-0.301135,-0.401398
-0.18629,-0.442118
-0.383132,-0.384132
-0.329963,-0.39991
-0.236457,-0.429522
-0.268287,-0.424852
-0.453457,-0.373626
-0.332445,-0.415126
-0.205928,-0.462607
-0.160086,-0.482421
0.0232635,-0.543663
0.075273,-0.564257
0.215283,-0.608483
0.320462,-0.644855
0.528315,-0.714803
0.711664,-0.776044
0.855337,-0.818252
0.963517,-0.857807
1.0937,-0.903271
0.894515,-0.836901
1.07786,-0.898143
1.14337,-0.915482
1.30729,-0.920776
1.95766,1.26558
1.50918,-0.212269
1.52638,-0.531196
2.02016,0.952553
2.20773,0.860311
2.03725,0.595407
2.19105,0.769182
1.81191,0.0682997
1.99059,0.109295
2.06119,0.235373
1.86961,-0.557751
2.20651,0.795348
2.3618,0.779013
2.00367,0.560824
2.00367,0.560824
1.7818,-0.0480127
1.89965,0.900888
1.62424,-0.568209
1.91507,1.34403
1.7671,1.3644
1.29001,-0.0355252
2.21624,2.54858
1.05301,-0.171526
1.00604,-0.078366
1.09383,0.814369
0.896259,0.814318
0.822893,0.85333
0.694944,-0.233392
1.48891,2.24958
0.608054,-0.574673
1.00253,1.81551
0.907353,0.95137
0.238565,-0.27979
0.674528,1.40744
1.06798,2.91639
0.767589,2.53465
-0.0173842,-0.0433375
-0.224265,-0.454682
-0.10942,-0.495402
1.2475,-0.924887
0.568223,1.51716
0.373439,1.34471
0.475272,1.51376
0.610062,1.60479
0.438201,0.575408
0.496649,0.0928651
0.647809,0.153058
0.803968,0.610016
0.750065,0.866633
1.04735,0.914454
0.607121,-0.118705
0.674934,-0.521464
1.06634,0.125021
1.46857,1.36973
1.38298,1.04616
1.13611,0.446409
1.5457,1.37095
1.2088,0.0178502
1.52025,0.458473
1.59064,0.500805
1.5367,1.08162
1.6558,1.29416
1.50507,0.778382
1.6309,1.04259
1.64202,0.769972
1.74859,1.1992
1.41157,1.50192
1.44016,0.748084
1.15736,1.3005
1.23415,1.50396
1.07609,1.68539
0.944194,0.467372
0.833793,0.937875
1.17931,2.32003
1.19766,2.30479
0.861168,1.20466
1.15349,2.22555
1.21869,2.78018
1.40449,2.74877
-0.00981971,-0.454611
-0.217673,-0.384664
-0.295346,-0.36018
-0.252007,-0.377196
-0.404848,-0.331025
-0.320511,-0.356674
-0.670195,-0.252517
-0.711194,-0.243884
-0.729531,-0.235959
-0.729531,-0.235959
-0.747868,-0.228033
-0.703867,-0.239849
-0.507686,-0.303035
-0.807203,-0.211474
-0.839034,-0.206804
-0.674021,-0.26012
-0.784022,-0.230581
-0.568843,-0.296493
-0.61034,-0.287475
-0.285138,-0.40094
0.0535567,-0.511151
-0.00445625,-0.484191
0.0500179,-0.482259
0.254225,-0.561534
0.507366,-0.618277
0.602089,-0.675707
1.29427,0.911659
1.33819,0.153078
1.83905,1.48626
1.97272,1.65064
1.63905,-0.244972
1.72885,0.346474
2.43741,2.59693
2.25695,1.53119
2.70914,2.68686
2.0951,0.594103
2.67445,2.40873
2.61189,1.96769
1.96046,0.217092
1.85096,0.246247
1.49014,-0.754128
2.29177,2.61623
2.17163,2.83215
1.08989,-0.495287
1.35492,0.00547778
1.31216,1.06775
1.71239,1.91251
1.6928,1.57121
0.662203,-0.17172
0.971194,0.940305
1.13388,0.980842
0.360421,-0.61669
0.0675692,-0.526294
-0.000935059,-0.505773
-0.0602708,-0.489214
0.0454057,-0.525971
-0.169774,-0.46006
-0.291447,-0.42376
-0.462626,-0.369663
-0.581297,-0.336546
-0.62714,-0.316732
-0.779982,-0.270561
-0.611306,-0.32186
-0.834993,-0.246785
-0.915667,-0.219118
